Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,..
West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,13425700000
"Yemen, Rep.",YEM,GDP (current US$),NY.GDP.MKTP.CD,18213328571.4286
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,20954754378.1394
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,16619960400
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 11/14/2018,,,,
